schema_version,pattern_id,pattern_slug,pattern_name,short_summary,ui_ux_type,ui_ux_rationale,category_id,category_slug,category_name,category_order,pattern_order,global_order,sub_pattern,definition,structural_signature,n_papers,n_central,n_venue_families,source_catalogue_row,legacy_category_code,legacy_category_name,pre_filter_category_code,pre_filter_category_name,status
1.0.0,pat-009,system-initiated-output-with-no-user-request,system-initiated output with no user request,Output is emitted without a user request immediately preceding it.,UX,Defines proactive system initiative and the experience of unsolicited assistance.,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,1,1,Proactive Suggestions,"Output is emitted without a user request immediately preceding it. The trigger is a timer, a change in sensed or task state, or the system's own decision that intervention is warranted, and the user takes no action to summon what appears.","An output-producing edge in the control graph whose predecessor is not a user event: a clock, a state-change condition, or an internal decision step. There is no request object attributable to the user for that output, and the interface offers no control the user could have withheld to prevent it appearing at that moment.",193,122,10,9,P3,Proactive Assistance,C01,Initiative & Intervention Timing,active
1.0.0,pat-011,output-synchronized-to-the-live-activity-as-it-happens,output synchronized to the live activity as it happens,"The system emits its output in step with an activity that is unfolding independently — a conversation, a performance, a learning session, a walk through an environment — so that each output appears at the moment its referent occurs.",UX,Defines real-time coordination between assistance and an unfolding activity.,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,2,2,,"The system emits its output in step with an activity that is unfolding independently — a conversation, a performance, a learning session, a walk through an environment — so that each output appears at the moment its referent occurs. Timing is part of the design, not an implementation detail: an output delivered late would be the wrong output. The pattern is about when material is shown, not what it contains.",An input stream is consumed continuously and each produced item is scheduled against a timestamp in that stream; the pipeline is held to a latency budget so that the item is presented while its referent is still current. There is no batch boundary between the activity and the output — the activity does not have to end for output to appear.,102,56,10,11,P3,Proactive Assistance,C01,Initiative & Intervention Timing,active
1.0.0,pat-012,live-updating-panel-co-located-with-the-working-surface,live-updating panel co-located with the working surface,A persistent region sits beside the surface the user is working on and shows generated content derived from that surface's current state.,UI,Defines a persistent interface region that refreshes beside the artifact.,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,3,3,Proactive Suggestions,A persistent region sits beside the surface the user is working on and shows generated content derived from that surface's current state. It refreshes on its own as the work changes rather than when the user asks. The panel is not the artifact under construction; it is a running commentary on it.,"Two co-present regions with an asymmetric dependency: region A holds the user-authored state, region B renders a derived generation, and B is recomputed as a side effect of changes to A with no invocation step. B is typically read-only or non-committal — its content does not enter the artifact unless the user acts. The adjacency is spatial (margin, sidebar, docked panel) so that A and B are read together.",53,32,9,12,P3,Proactive Assistance,C01,Initiative & Intervention Timing,active
1.0.0,pat-013,the-intervention-deferred-to-after-the-activity-rather-than-interrupting-it,the intervention deferred to after the activity rather than interrupting it,"The system detects something during an ongoing activity but withholds any response until the activity has ended, then presents its findings and the user's controls in a dedicated step.",UX,Defines a non-interruptive assistance strategy and delayed review phase.,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,4,4,Proactive Assistance with a Threshold,"The system detects something during an ongoing activity but withholds any response until the activity has ended, then presents its findings and the user's controls in a dedicated step. The activity itself runs without system intrusion. The design choice is the placement in time, and the paper argues for it explicitly against the interrupting alternative.","Two phases: during phase one the system observes and accumulates without emitting anything to the user; on the terminating event of phase one, phase two opens with the accumulated findings and a set of controls that act retroactively on phase-one material. Nothing the system produces is visible before the boundary, and phase-two actions can revise what phase one produced. Transplants to editing, driving, code review, form filling — anywhere an assist could have fired mid-stream.",22,12,5,13,P3,Proactive Assistance,C01,Initiative & Intervention Timing,active
1.0.0,pat-082,interaction-bounded-into-discrete-sessions-rather-than-running-continuously,interaction bounded into discrete sessions rather than running continuously,"Rather than an always-on stream, the system packages interaction into episodes with a defined opening and close.",UX,"Defines the opening, closing, and continuity model of the experience.",U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,5,5,,"Rather than an always-on stream, the system packages interaction into episodes with a defined opening and close. Each session covers a bounded slice of material and ends; the next session is a new episode rather than a continuation of the same thread. The boundary is imposed by the system, not by the user walking away.","Control flow is a repeated cycle with an entry condition and a terminal state: material is admitted at session start, processed through a fixed internal flow, and the session closes, after which no further turns belong to it. Session boundaries are visible as flow-diagram endpoints and as scoping for what the system may reference. Transplants to any continuous process that could have been left running — monitoring, tutoring, journaling, review.",37,8,5,82,P19,Retained Interaction State,C01,Initiative & Intervention Timing,active
1.0.0,pat-090,suggestion-summoned-on-demand-inside-the-working-surface,suggestion summoned on demand inside the working surface,"A generated continuation is produced at the user's current position in the artifact being edited, and only when the user fires a control to ask for it.",UI,Defines an inline invocation affordance and insertion point within the editor.,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,1,6,6,,"A generated continuation is produced at the user's current position in the artifact being edited, and only when the user fires a control to ask for it. The user does not leave the editing surface to make the request or to receive the result.","A single user-triggered control whose output is inserted at the current insertion point of the same editable surface. There is no separate request window and no navigation step; when the control is not fired, nothing is generated, so the output's position and timing are both determined by the user's cursor and keystroke.",42,20,8,90,P21,Fixed Surface Composition,C01,Initiative & Intervention Timing,active
1.0.0,pat-015,the-system-questions-the-user-and-the-answers-become-the-input,the system questions the user and the answers become the input,"The system takes the interrogative turn: it poses questions — clarification prompts, structured fields, interview turns — and the user's answers, rather than a user-composed prompt, constitute the specification the system works from.",UX,Structures specification as an elicitation dialogue rather than a single prompt.,U02,input-context-and-specification,"Input, Context & Specification",2,1,7,Structured Guidance through Stages,"The system takes the interrogative turn: it poses questions — clarification prompts, structured fields, interview turns — and the user's answers, rather than a user-composed prompt, constitute the specification the system works from. The usual prompt-then-generate direction is inverted.","A system-authored question precedes any user content at the head of the loop, and each reply is written into the input record consumed by the next stage. The set of questions determines which slots of the specification exist, so the user never composes a full specification unprompted.",166,116,9,15,P4,Branching Dialogue,C02,Input & Specification,active
1.0.0,pat-022,extracted-keywords-or-attributes-exposed-as-control-handles,extracted keywords or attributes exposed as control handles,"The system derives a set of discrete terms, attributes, or dimensions from the material at hand and then puts that derived set on screen as the thing the user manipulates.",UI,"Turns inferred concepts into editable chips, sliders, weights, or selections.",U02,input-context-and-specification,"Input, Context & Specification",2,2,8,Editing a Generated Draft,"The system derives a set of discrete terms, attributes, or dimensions from the material at hand and then puts that derived set on screen as the thing the user manipulates. The user steers subsequent behaviour by editing, weighting, selecting or deselecting members of the extracted set rather than by rewriting free text. The set is content-specific: a different input yields a different set of handles.","A derivation step produces a finite list of named items from the current input; those items are rendered as individually addressable widgets (chips, rows, sliders, editable fields); manipulating them re-parameterizes the downstream operation. The handle set is regenerated when the input changes, so the control panel's contents are data-dependent rather than fixed at design time.",90,65,9,22,P5,Editable Generation Pipeline,C02,Input & Specification,active
1.0.0,pat-027,demonstration-or-example-as-the-specification,demonstration or example as the specification,"Instead of describing what they want, the user supplies one or more instances of it, and the system generalizes or inverts those instances into the operative specification.",UX,Lets users communicate intent by showing desired behavior or outcomes.,U02,input-context-and-specification,"Input, Context & Specification",2,3,9,Editing a Generated Draft,"Instead of describing what they want, the user supplies one or more instances of it, and the system generalizes or inverts those instances into the operative specification. The supplied artifact is treated as a definition of desired behaviour, not merely as content to draw on. What the system produces from it — a template, a constraint graph, a set of control states, a reusable action — is what governs subsequent generation.","The input slot accepts finished exemplars; an induction step converts them into a reusable structure (template, constraint set, parameter assignment, recorded macro); that structure, and not the exemplars, is what conditions later runs and what the user can edit. Adding or removing exemplars changes the induced structure.",42,31,8,27,P5,Editable Generation Pipeline,C02,Input & Specification,active
1.0.0,pat-032,generation-conditioned-on-the-users-own-material,generation conditioned on the user's own material,"An artifact the user already possesses or has produced — a draft, a collection, a document, a physical or staged arrangement, their own prior judgments — is ingested and used as the input the generation is conditioned on.",UX,Makes existing user artifacts the contextual basis of generation.,U02,input-context-and-specification,"Input, Context & Specification",2,4,10,Structured Format with Predefined Fields,"An artifact the user already possesses or has produced — a draft, a collection, a document, a physical or staged arrangement, their own prior judgments — is ingested and used as the input the generation is conditioned on. The user supplies material rather than a description of what they want. The output is a function of that material.","The system exposes an ingestion path for a user-owned artifact (upload, parse, encode, capture) and routes it into the generator as conditioning state, either directly or after an encoding step. The generation cannot run without that artifact; changing it changes the output. The material is pre-existing with respect to the interaction — it is not authored in order to specify the request.",303,199,11,32,P6,Parameterized Personalization,C02,Input & Specification,active
