pattern_id,pattern_slug,pattern_name,legacy_category_code,legacy_category_name,pre_filter_category_code,pre_filter_category_name,new_category_id,new_category_name,ui_ux_type,source_catalogue_row
pat-009,system-initiated-output-with-no-user-request,system-initiated output with no user request,P3,Proactive Assistance,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UX,9
pat-011,output-synchronized-to-the-live-activity-as-it-happens,output synchronized to the live activity as it happens,P3,Proactive Assistance,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UX,11
pat-012,live-updating-panel-co-located-with-the-working-surface,live-updating panel co-located with the working surface,P3,Proactive Assistance,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UI,12
pat-013,the-intervention-deferred-to-after-the-activity-rather-than-interrupting-it,the intervention deferred to after the activity rather than interrupting it,P3,Proactive Assistance,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UX,13
pat-082,interaction-bounded-into-discrete-sessions-rather-than-running-continuously,interaction bounded into discrete sessions rather than running continuously,P19,Retained Interaction State,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UX,82
pat-090,suggestion-summoned-on-demand-inside-the-working-surface,suggestion summoned on demand inside the working surface,P21,Fixed Surface Composition,C01,Initiative & Intervention Timing,U01,Initiative & Intervention Timing,UI,90
pat-015,the-system-questions-the-user-and-the-answers-become-the-input,the system questions the user and the answers become the input,P4,Branching Dialogue,C02,Input & Specification,U02,"Input, Context & Specification",UX,15
pat-022,extracted-keywords-or-attributes-exposed-as-control-handles,extracted keywords or attributes exposed as control handles,P5,Editable Generation Pipeline,C02,Input & Specification,U02,"Input, Context & Specification",UI,22
pat-027,demonstration-or-example-as-the-specification,demonstration or example as the specification,P5,Editable Generation Pipeline,C02,Input & Specification,U02,"Input, Context & Specification",UX,27
pat-032,generation-conditioned-on-the-users-own-material,generation conditioned on the user's own material,P6,Parameterized Personalization,C02,Input & Specification,U02,"Input, Context & Specification",UX,32
pat-034,a-system-or-generation-property-exposed-as-a-level-the-user-sets,a system or generation property exposed as a level the user sets,P6,Parameterized Personalization,C02,Input & Specification,U02,"Input, Context & Specification",UI,34
pat-035,a-fixed-set-of-predefined-prompts-attached-to-each-unit-of-content,a fixed set of predefined prompts attached to each unit of content,P6,Parameterized Personalization,C02,Input & Specification,U02,"Input, Context & Specification",UI,35
pat-039,spatial-arrangement-on-a-canvas-is-the-prompt,spatial arrangement on a canvas is the prompt,P8,Spatial Canvas Workspace,C02,Input & Specification,U02,"Input, Context & Specification",UI,39
pat-040,sketch-or-drawn-stroke-as-the-generation-input,sketch or drawn stroke as the generation input,P9,Direct-Manipulation Steering,C02,Input & Specification,U02,"Input, Context & Specification",UI,40
pat-059,inferred-or-declared-user-state-selects-the-systems-next-behavior,inferred or declared user state selects the system's next behavior,P15,Inference-Driven Personalization,C09,"Context, Personalization & Learning",U02,"Input, Context & Specification",UX,59
pat-092,natural-language-instruction-replaces-direct-manipulation-of-the-artifact,natural-language instruction replaces direct manipulation of the artifact,P22,Substituted Control Vocabulary,C02,Input & Specification,U02,"Input, Context & Specification",UX,92
pat-093,familiar-metaphor-imported-as-the-interaction-surface,familiar metaphor imported as the interaction surface,P22,Substituted Control Vocabulary,C02,Input & Specification,U02,"Input, Context & Specification",UI,93
pat-033,schema-or-template-constrains-what-the-model-may-emit,schema or template constrains what the model may emit,P6,Parameterized Personalization,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UI,33
pat-067,user-authored-criteria-or-constraint-set-governing-generation,user-authored criteria or constraint set governing generation,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UX,67
pat-068,the-system-withholds-the-answer-and-hands-the-step-back-to-the-user,the system withholds the answer and hands the step back to the user,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UX,68
pat-071,regions-the-user-did-not-mark-protected-from-generation,regions the user did not mark protected from generation,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UX,71
pat-072,output-rendered-at-a-fixed-low-fidelity-with-no-higher-fidelity-mode,output rendered at a fixed low fidelity with no higher-fidelity mode,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UI,72
pat-073,deliberately-narrowed-output-bandwidth-to-a-nonvisual-channel,deliberately narrowed output bandwidth to a nonvisual channel,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",U03,"Constraints, Safety & Agency",UI,73
pat-002,generated-candidates-offered-for-the-user-to-pick-among,generated candidates offered for the user to pick among,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UI,2
pat-004,two-artifacts-placed-side-by-side-for-comparison,two artifacts placed side by side for comparison,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UI,4
pat-005,branching-or-freely-ordered-structure-instead-of-a-linear-sequence,branching or freely-ordered structure instead of a linear sequence,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UX,5
pat-006,one-prompt-fanned-out-to-several-models-in-parallel,one prompt fanned out to several models in parallel,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UI,6
pat-007,perturb-then-compare-probing-of-the-model,perturb-then-compare probing of the model,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UX,7
pat-008,feedforward-preview-of-a-controls-outcome-before-acting,feedforward preview of a control's outcome before acting,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UI,8
pat-041,two-inputs-blended-or-interpolated-into-one-result,two inputs blended or interpolated into one result,P9,Direct-Manipulation Steering,C05,Alternatives & Comparative Exploration,U04,Alternatives & Comparative Exploration,UI,41
pat-010,system-filled-content-left-editable-in-place,system-filled content left editable in place,P3,Proactive Assistance,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,10
pat-018,segmented-into-discrete-units-each-individually-addressable,"segmented into discrete units, each individually addressable",P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,18
pat-019,propose-critique-revise-iteration-loop-over-the-same-artifact,propose-critique-revise iteration loop over the same artifact,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UX,19
pat-021,the-operation-scoped-to-the-region-or-location-the-user-marks,the operation scoped to the region or location the user marks,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,21
