category_code,category_name,category_origin,runner_up_code,human_factor,n_papers,n_central,n_venue_families,definition,framing
F1,Gulf of envisioning,given,F2,articulation difficulty,269,189,11,"The difficulty a person has in putting something they hold internally — an intent, a felt reaction, a quality criterion, a piece of advice — into an explicit form another party can act on. The person is taken to know, at some level, what they want; the claimed problem is the conversion into words, parameters, or a stated principle. It is a difficulty of expression, not of deciding.","DEFICIT/HARM. The corpus names it as a difficulty, a burden of conversion, or a ""not straightforward"" task. A minority of assertions state the complementary capacity in recognition terms (helping a person notice rather than generate), but the framing is still built on the stated difficulty."
F1,Gulf of envisioning,given,F2,vague and evolving intent,75,45,11,"The person does not hold a fully formed goal at the moment they must specify one; what they want is partly constructed, and revised, through the act of working on the task. Papers claim their designs engage the condition in which a target is under-specified at the outset and shifts as the person sees intermediate results. The factor concerns the state of the goal itself, not the difficulty of putting an already-held goal into words.","BOTH — the corpus frames vagueness as a defect of the specification moment (""despite inherently vague, fluid, and evolving intents"") and equally as a legitimate developmental process worth protecting (preference construction, problem-solution co-evolution)."
F1,Gulf of envisioning,given,F7,task decomposition and planning,69,35,10,"Getting from a stated goal to the ordered set of sub-goals or steps that would achieve it, and holding that structure while acting on it. The claimed difficulty is that people cannot break their own objective into separable parts, or cannot sustain long-range planning across the many steps a complex outcome requires. It transplants to any goal too large to be accomplished in one move.",BOTH
F1,Gulf of envisioning,given,F15,implicit expression of attention and intent,34,22,8,"While a person works, their behaviour continuously leaks where they are looking and what they are after, without their having stated any of it. The factor is this unspoken behavioural signal — gaze, dwell, pointer movement, or comparable traces — treated as a readable expression of attention and intent rather than as mere input. It concerns what the person conveys without deliberate articulation.",CAPACITY
F1,Gulf of envisioning,given,F8,problem framing,9,8,5,"Before anything can be solved, the person has to settle what the problem is — which constraints count, what would qualify as an answer, and where the boundaries of the task lie. The factor is that constitutive act of framing, held apart from and prior to solving. It concerns the formulation of the problem, in any domain where the problem is not given ready-made.",CAPACITY
F2,Creativity support and ideation,given,F1,creativity and ideation,284,159,10,"The person's capacity to generate, vary, and explore possibilities of their own, and the value the corpus places on that exploratory activity as an activity. Papers claim designs support idea generation, early-stage exploration, iteration on one's own concepts, and the searching through which discovery is said to happen. The unit is the person's generative activity, not the novelty of any artifact produced.","CAPACITY. Stated as something to support, enable, or preserve — creative writing, rapid ideation, early-stage exploration, ""a playground for users to explore""."
F2,Creativity support and ideation,given,F1,need for external inspiration and examples,94,47,9,"The claim that people cannot reliably produce ideas from nothing and must go outside themselves — to references, precedents, or examples — to get moving or to get past a stall. Papers state it as blockage, as the cost of starting from scratch, or as an established practice of consulting outside material. The factor is the dependence on external stimulus, not the quality of ideas eventually produced.","BOTH. The corpus states it as a difficulty (writer's block, the challenge of ""conceiving vivid graphical design"" from scratch, exploration being costly) and as a positively named human need (""inspiration"" as the dimension the system is framed around)."
F2,Creativity support and ideation,given,F1,iterative rather than linear creative process,82,37,11,"Creative work does not run start-to-finish; the person cycles between making, looking around, and reworking, and may re-enter an earlier stage at any point. The factor is this non-linear temporal shape of the person's process, asserted as the proper form of the work rather than as an inefficiency. It concerns how the activity is sequenced, not how much of it there is.",CAPACITY
F2,Creativity support and ideation,given,F1,understanding of the design space,77,37,8,"Beyond the particular option in front of them, a person needs a sense of the field of possible options — what else could exist, and how the alternatives are laid out relative to each other. The factor is the person's grasp of that space of possibilities for the problem they face. It concerns a map of what is possible, not the production of any one candidate.",CAPACITY
F2,Creativity support and ideation,given,N1,trial-and-error burden,74,42,7,"The cost of reaching an acceptable result by repeated attempts because the relation between what the person supplies and what comes back cannot be predicted. Papers frame it as random, laborious, or requiring many candidates before one is usable, and as demanding persistence from the person. It is the iteration itself that is claimed to be burdensome, not the difficulty of any single attempt.","DEFICIT/HARM. Named as a laborious, random, or inefficient process, and as requiring persistence — with a secondary framing of serendipity as the reason many attempts are needed."
F2,Creativity support and ideation,given,F3,competing requirements and selection judgment,69,35,9,"The person must satisfy several requirements at once that pull against each other, and every choice of what to include or leave out trades one off against another. The claimed difficulty is the simultaneity: no single requirement is hard, but they cannot all be maximized. It transplants to any selection or composition task governed by more than one binding constraint.",BOTH
F2,Creativity support and ideation,given,F18,design fixation and homogenization,38,21,9,"The narrowing of what a person considers or produces as a consequence of what they were shown. Papers frame it as fixation — being captured by an example so the space of options shrinks — and as convergence across people who all draw on the same source, reducing the variety of what a group collectively produces. The claim is about the person's range narrowing, not about any single output being poor.","DEFICIT/HARM. Stated as an undesirable outcome — fixation, focus drift, hindered creativity, diminished diversity of results."
F2,Creativity support and ideation,given,F1,tension between precise control and surprise,24,12,7,"A person sometimes wants exactly what they specified and sometimes wants to be shown something they would not have specified, and the same encounter cannot fully serve both. The factor is this conflict inside the person's own wants — fidelity to a stated criterion against variety and unexpectedness — which the interface must resolve without knowing which mode the person is in. It is a conflict of goals, not a shortage of control.",BOTH
F2,Creativity support and ideation,given,F6,analogical reasoning across domains,22,17,6,"Recognizing that a structure in one domain matches a structure in an unrelated one, and carrying it across. Papers frame this as a cognitive capacity people cannot exercise on demand: finding a fitting source is hard, and understanding a retrieved one well enough to build from it is a further difficulty. It transplants to any task solved by importing a structure from elsewhere.",BOTH
F3,Verification,given,F4,verification burden,128,85,9,"The work left to a person of checking whether something produced for them is correct, adequate, or acceptable before they can use it. Papers frame this as labour that has been displaced rather than removed: producing is cheaper, so checking becomes the bottleneck. The factor is the human checking work, not any property of what generated the output.","DEFICIT/HARM. Named as a burden that ""remains on the end-user"", as effort ""shifted"" rather than removed, and as an inability to check when only a final result is shown."
F3,Verification,given,F6,informed decision-making,107,52,11,"A person must commit to a choice at a particular moment, and whether they hold the information that bears on it at that moment is what is at stake. The factor is the person's capacity to decide on an adequate basis at the point of decision, where the relevant material is otherwise dispersed, absent, or arriving too late to act on. It concerns the act of choosing, not the act of understanding for its own sake.",CAPACITY
F3,Verification,given,F2,judging whether returned material bears on the need,90,44,10,"What the system returns may not be about what the person actually wanted, and the person is left to judge the fit between the two. Papers claim their designs engage the gap between a request and the returned material, and the judgment of relevance the person must exercise over candidates. This is a property of the match, not of the correctness of the content.","BOTH — the corpus frames off-target output as a harm (focus drift, unresolved intent-outcome gaps) and also frames relevance judgment as an activity the person performs over candidates."
F3,Verification,given,F1,ill-defined and inconsistent evaluation criteria,75,36,9,"The condition in which a person must judge something without a settled or stably applied standard: what counts as good is contested, depends on who is judging, or drifts within one judge over a long session. Papers frame the consequence as judgments that cannot be replicated or defended. It concerns the standard being unclear, not the effort of applying a clear one.","DEFICIT/HARM. Framed as subjectivity, unfairness, narrowness of available measures, and lack of replicability — conditions to be remedied."
