layer,band,dimension_id,dimension_name,lens,id,status,name_before,name_after,description_verbatim_catalogue_clause,slug_before,slug_after,mapped_papers,distinctive_breadth
pattern,Setting the specs,U01,"Input, Context & Specification",UX,pat-059,renamed,inferred or declared user state selects the system's next behavior,Inferred User State Driven Adaptation,inferred or declared user state selects the system's next behavior,inferred-or-declared-user-state-selects-the-systems-next-behavior,inferred-user-state-driven-adaptation,112,7
pattern,Setting the specs,U01,"Input, Context & Specification",UX,pat-015,renamed,the system questions the user and the answers become the input,Question-Driven Elicitation,the system questions the user and the answers become the input,the-system-questions-the-user-and-the-answers-become-the-input,question-driven-elicitation,166,7
pattern,Setting the specs,U01,"Input, Context & Specification",UX,pat-027,renamed,demonstration or example as the specification,Specification by Demonstration,demonstration or example as the specification,demonstration-or-example-as-the-specification,specification-by-demonstration,42,6
pattern,Setting the specs,U01,"Input, Context & Specification",UX,pat-092,renamed,natural-language instruction replaces direct manipulation of the artifact,Natural-Language Control,natural-language instruction replaces direct manipulation of the artifact,natural-language-instruction-replaces-direct-manipulation-of-the-artifact,natural-language-control,107,4
pattern,Setting the specs,U01,"Input, Context & Specification",UX,pat-032,renamed,generation conditioned on the user's own material,Source Conditioned Generation,"generation conditioned on the user's own material The user hands over material they already own - a dataset, PDF, photo set or chat log - and the generation is conditioned on it.",generation-conditioned-on-the-users-own-material,source-conditioned-generation,303,3
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-035,renamed,a fixed set of predefined prompts attached to each unit of content,Atomic AI Action Menu,"a fixed set of predefined prompts attached to each unit of content The same small, named set of prepared AI actions is attached to every content unit, in place of an open prompt box.",a-fixed-set-of-predefined-prompts-attached-to-each-unit-of-content,atomic-ai-action-menu,34,6
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-093,renamed,familiar metaphor imported as the interaction surface,Familiar-Object Metaphor,"familiar metaphor imported as the interaction surface The interface is built from an object the user already knows - a spreadsheet, a palette, puzzle pieces, recipe cards.",familiar-metaphor-imported-as-the-interaction-surface,familiar-object-metaphor,67,5
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-039,renamed,spatial arrangement on a canvas is the prompt,Spatial Canvas,spatial arrangement on a canvas is the prompt,spatial-arrangement-on-a-canvas-is-the-prompt,spatial-canvas,42,4
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-034,renamed,a system or generation property exposed as a level the user sets,Artifact Generation Property Controls,a system or generation property exposed as a level the user sets,a-system-or-generation-property-exposed-as-a-level-the-user-sets,artifact-generation-property-controls,129,3
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-040,renamed,sketch or drawn stroke as the generation input,Sketch-Based Input,sketch or drawn stroke as the generation input,sketch-or-drawn-stroke-as-the-generation-input,sketch-based-input,77,3
pattern,Setting the specs,U01,"Input, Context & Specification",UI,pat-022,renamed,extracted keywords or attributes exposed as control handles,Artifact Derived Controls,extracted keywords or attributes exposed as control handles,extracted-keywords-or-attributes-exposed-as-control-handles,artifact-derived-controls,90,3
pattern,Setting the specs,U02,Initiative & Intervention Timing,UX,pat-011,renamed,output synchronized to the live activity as it happens,Live Activity Output Synchronization,output synchronized to the live activity as it happens,output-synchronized-to-the-live-activity-as-it-happens,live-activity-output-synchronization,102,9
pattern,Setting the specs,U02,Initiative & Intervention Timing,UX,pat-082,renamed,interaction bounded into discrete sessions rather than running continuously,Chunked Interaction Sessions,interaction bounded into discrete sessions rather than running continuously,interaction-bounded-into-discrete-sessions-rather-than-running-continuously,chunked-interaction-sessions,37,8
pattern,Setting the specs,U02,Initiative & Intervention Timing,UX,pat-009,renamed,system-initiated output with no user request,Proactive Support,system-initiated output with no user request,system-initiated-output-with-no-user-request,proactive-support,193,7
pattern,Setting the specs,U02,Initiative & Intervention Timing,UX,pat-013,renamed,the intervention deferred to after the activity rather than interrupting it,Deferred Intervention,the intervention deferred to after the activity rather than interrupting it,the-intervention-deferred-to-after-the-activity-rather-than-interrupting-it,deferred-intervention,22,7
pattern,Setting the specs,U02,Initiative & Intervention Timing,UI,pat-012,renamed,live-updating panel co-located with the working surface,Live Side Panel,live-updating panel co-located with the working surface,live-updating-panel-co-located-with-the-working-surface,live-side-panel,53,5
pattern,Setting the specs,U02,Initiative & Intervention Timing,UI,pat-090,renamed,suggestion summoned on demand inside the working surface,On-Demand Suggestion,suggestion summoned on demand inside the working surface,suggestion-summoned-on-demand-inside-the-working-surface,on-demand-suggestion,42,4
pattern,Setting the specs,U03,"Constraints, Guardrails & Reserved Control",UX,pat-067,renamed,user-authored criteria or constraint set governing generation,User-Authored Rules,user-authored criteria or constraint set governing generation,user-authored-criteria-or-constraint-set-governing-generation,user-authored-rules,50,10
pattern,Setting the specs,U03,"Constraints, Guardrails & Reserved Control",UX,pat-068,renamed,the system withholds the answer and hands the step back to the user,Withheld Answer,the system withholds the answer and hands the step back to the user,the-system-withholds-the-answer-and-hands-the-step-back-to-the-user,withheld-answer,46,6
pattern,Setting the specs,U03,"Constraints, Guardrails & Reserved Control",UX,pat-071,renamed,regions the user did not mark protected from generation,Protected Region,regions the user did not mark protected from generation,regions-the-user-did-not-mark-protected-from-generation,protected-region,11,1
pattern,Setting the specs,U03,"Constraints, Guardrails & Reserved Control",UI,pat-072,renamed,output rendered at a fixed low fidelity with no higher-fidelity mode,Low Detail Outlines with User-Filled Specificity,output rendered at a fixed low fidelity with no higher-fidelity mode The user supplies the missing detail and specificity themselves.,output-rendered-at-a-fixed-low-fidelity-with-no-higher-fidelity-mode,low-detail-outlines-with-user-filled-specificity,8,1
pattern,Setting the specs,U03,"Constraints, Guardrails & Reserved Control",UI,pat-033,renamed,schema or template constrains what the model may emit,Output Templates,schema or template constrains what the model may emit,schema-or-template-constrains-what-the-model-may-emit,output-templates,291,0
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-043,renamed,embodied character or avatar as the agent's form,Embodied Avatar,embodied character or avatar as the agent's form,embodied-character-or-avatar-as-the-agents-form,embodied-avatar,111,8
