schema_version,category_id,category_slug,category_name,category_description,classification_boundary,category_order,pattern_count,ui_pattern_count,ux_pattern_count,dominant_lens
1.0.0,U01,initiative-and-intervention-timing,Initiative & Intervention Timing,"When assistance appears and who triggers it: system-initiated, continuous, deferred, session-bound, or explicitly summoned.",The timing or trigger must be observable in the interaction; surface placement alone belongs to U09.,1,6,2,4,UX-led
1.0.0,U02,input-context-and-specification,"Input, Context & Specification","How users, artifacts, examples, parameters, or user-state signals specify intent and shape the system's next behavior.",Requires a user-facing specification or adaptive interaction; invisible sensing infrastructure is excluded.,2,11,6,5,UI-led
1.0.0,U03,constraints-safety-and-agency,"Constraints, Safety & Agency","Visible rules or boundaries that restrict generation, protect artifact regions, preserve privacy, or reserve part of the task for the user.",The constraint must be expressed through the interface or directly shape an observable interaction; invisible policies are excluded.,3,6,3,3,Mixed
1.0.0,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,"How multiple possibilities are presented, previewed, maintained, blended, or compared before commitment.","Requires a visible choice or comparison mechanism, not backend candidate-set processing alone.",4,7,5,2,UI-led
1.0.0,U05,artifact-editing-and-revision,Artifact Editing & Revision,"How users inspect, modify, scope, revise, accept, program, or interrupt generated work at the artifact level.","Centers user control during or after generation, including editable intermediate generators and representations.",5,10,7,3,UI-led
1.0.0,U06,workflow-history-and-session-structure,"Workflow, History & Session Structure","How visible stages, dialogue states, histories, task decompositions, and session boundaries organize progress over time.",The process structure must be exposed to users; hidden chains of model calls are excluded.,6,4,0,4,UX-led
1.0.0,U07,explanation-inspection-and-verification,"Explanation, Inspection & Verification","How evidence, internals, correspondence, quality, interpretations, and planned actions are represented for human judgment.","The representation must support understanding or verification, rather than merely render output into a usable medium.",7,13,11,2,UI-led
1.0.0,U08,agent-identity-and-multi-party-roles,Agent Identity & Multi-Party Roles,"How human and artificial participants are personified, assigned visible roles, coordinated, simulated, or represented to one another.",Identity or social organization must be user-facing; invisible multi-agent division of labor is excluded.,8,7,1,6,UX-led
1.0.0,U09,workspace-layout-and-tool-integration,Workspace Layout & Tool Integration,"How AI assistance is spatially composed with artifacts, panels, host tools, chat surfaces, presentation modes, and shared workspaces.","Use for visible surface placement and integration, not sensory modality or physical-space registration.",9,7,7,0,UI-led
1.0.0,U10,modality-embodiment-and-output-rendering,"Modality, Embodiment & Output Rendering","How interaction crosses sensory, physical, spatial, embodied, or representational channels.","The channel, embodiment, or rendering must be the load-bearing interface mechanism.",10,12,12,0,UI-led
