paper_id,paper_name,pattern_ids,pattern_names,human_factor_ids,human_factor_names
97,LINGO : Visually Debiasing Natural Language Instructions to Support Task Diversity,pat-004 | pat-095 | pat-017 | pat-037,Side-by-Side Comparison | Manual Fallback Editing | Staged Pipeline | Unit Visualization Views,F2 | F6 | F3 | F18,Creativity Support and Ideation | Sensemaking | Judgment and Decision Making | Bias and Fairness
196,Interactive Authoring of Terrain using Diffusion Models,pat-040 | pat-029,Sketch-Based Input | Reverse Engineered Representation,F1 | F7,Gulf of Envisioning | Control and Agency
343,CUPID: Contextual Understanding of Prompt-conditioned Image Distributions,pat-001 | pat-036 | pat-037,Linked Views | Overview-plus-Detail | Unit Visualization Views,F2 | F6 | F18,Creativity Support and Ideation | Sensemaking | Bias and Fairness
350,AVA: Towards Autonomous Visualization Agents through Visual Perception-Driven Decision-Making,pat-092,Natural-Language Control,F20 | F7,Skill and Self-Efficacy | Control and Agency
621,VizTA: Enhancing Comprehension of Distributional Visualization with Visual-Lexical Fused Conversational Interface,pat-018 | pat-001 | pat-047 | pat-057 | pat-074,Addressable Segments | Linked Views | Role Asymmetric Views | Companion Chat Panel | Non-Readable to Natural Language Conversion,F6 | F3,Sensemaking | Judgment and Decision Making
623,IntelliCircos: A Data-driven and AI-powered Authoring Tool for Circos Plots,pat-033 | pat-019 | pat-017,Output Templates | Propose-Critique-Revise Iterative Refinement | Staged Pipeline,F1 | F2 | F19 | F20,Gulf of Envisioning | Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy
627,LayerFlow : Layer-wise Exploration of LLM Embeddings using Uncertainty-aware Interlinked Projections,pat-034 | pat-001 | pat-037 | pat-051 | pat-086,Artifact Generation Property Controls | Linked Views | Unit Visualization Views | Elements for Process Disclosure | Fixed Functional Panel Layout,F6 | F3 | F19,Sensemaking | Judgment and Decision Making | Effort and Cognitive Load
631,InterChat: Enhancing Generative Visual Analytics using Multimodal Interactions,pat-021 | pat-025 | pat-060,Localized Tweaking Support | Interpretation Readback | Multimodal Input,F1 | F6 | F19 | F20 | F12,Gulf of Envisioning | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking
640,An Interactive Visual Enhancement for Prompted Programmatic Weak Supervision in Text Classification,pat-022 | pat-002 | pat-019 | pat-095,Artifact Derived Controls | Candidate Gallery | Propose-Critique-Revise Iterative Refinement | Manual Fallback Editing,F1 | F19 | F20 | F7,Gulf of Envisioning | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
643,SUPQA: LLM-based Geo-Visualization for Subjective Urban Performance Question-Answering,pat-034 | pat-092 | pat-005 | pat-020 | pat-036 | pat-051 | pat-086,Artifact Generation Property Controls | Natural-Language Control | Branching Exploration | Inspectable Intermediate Steps | Overview-plus-Detail | Elements for Process Disclosure | Fixed Functional Panel Layout,F3 | F19 | F20,Judgment and Decision Making | Effort and Cognitive Load | Skill and Self-Efficacy
650,DataWeaver: Authoring Data-Driven Narratives through the Integrated Composition of Visualization and Text,pat-039 | pat-021 | pat-030 | pat-020,Spatial Canvas | Localized Tweaking Support | Two-Way Sync View | Inspectable Intermediate Steps,F2 | F19 | F20 | F12,Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking
651,MatplotAlt: A Python Library for Adding Alt Text to Matplotlib Figures in Computational Notebooks,pat-032 | pat-034 | pat-087 | pat-088 | pat-074,Source Conditioned Generation | Artifact Generation Property Controls | Dual Artifact Presentation Modes | AI Panels for Host Application | Non-Readable to Natural Language Conversion,F19 | F14,Effort and Cognitive Load | Accessibility
666,Interactive Discovery and Exploration of Visual Bias in Generative Text-to-Image Models,pat-005 | pat-007 | pat-001 | pat-036,Branching Exploration | Perturb-and-Compare | Linked Views | Overview-plus-Detail,F6 | F18 | F7,Sensemaking | Bias and Fairness | Control and Agency
743,A Solver-Aided Hierarchical Language for LLM-Driven CAD Design,pat-092 | pat-033 | pat-024,Natural-Language Control | Output Templates | Program-as-Output,F19 | F20 | F7,Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
832,ImageExplorer: Multi-Layered Touch Exploration to Encourage Skepticism Towards Imperfect AI-Generated Image Captions,pat-036 | pat-064,Overview-plus-Detail | Nonvisual Navigation,F6 | F3 | F5 | F19 | F14,Sensemaking | Judgment and Decision Making | Appropriate Reliance | Effort and Cognitive Load | Accessibility
869,GANSlider: How Users Control Generative Models for Images using Multiple Sliders with and without Feedforward Information,pat-034 | pat-087,Artifact Generation Property Controls | Dual Artifact Presentation Modes,F4 | F19 | F7,Oversight | Effort and Cognitive Load | Control and Agency
910,VocabEncounter: NMT-powered Vocabulary Learning by Presenting Computer-Generated Usages of Foreign Words into Users' Daily Lives,pat-009 | pat-011 | pat-088,Proactive Support | Live Activity Output Synchronization | AI Panels for Host Application,F19 | F20,Effort and Cognitive Load | Skill and Self-Efficacy
965,StoryDrawer: A Child-AI Collaborative Drawing System to Support Children's Creative Visual Storytelling,pat-011 | pat-090 | pat-072 | pat-086 | pat-091 | pat-060,Live Activity Output Synchronization | On-Demand Suggestion | Low Detail Outlines with User-Filled Specificity | Fixed Functional Panel Layout | In-Situ Agent Presence | Multimodal Input,F2 | F19 | F17 | F13,Creativity Support and Ideation | Effort and Cognitive Load | Privacy and Ownership | Personalization
969,Promptiverse: Scalable Generation of Scaffolding Prompts Through Human-AI Hybrid Knowledge Graph Annotation,pat-032 | pat-033 | pat-095 | pat-020,Source Conditioned Generation | Output Templates | Manual Fallback Editing | Inspectable Intermediate Steps,F9 | F6 | F19 | F20 | F13,Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Personalization
973,TaleBrush: Sketching Stories with Generative Pretrained Language Models,pat-034 | pat-040 | pat-010 | pat-023,Artifact Generation Property Controls | Sketch-Based Input | Prefilled Editable Templates | Goal Decomposition,F2 | F4 | F20 | F7,Creativity Support and Ideation | Oversight | Skill and Self-Efficacy | Control and Agency
1137,Discovering the Syntax and Strategies of Natural Language Programming with Generative Language Models,pat-090 | pat-092 | pat-002 | pat-021,On-Demand Suggestion | Natural-Language Control | Candidate Gallery | Localized Tweaking Support,F1 | F2 | F4 | F20 | F21,"Gulf of Envisioning | Creativity Support and Ideation | Oversight | Skill and Self-Efficacy | Affect, Wellbeing and Connection"
1168,Stylette: Styling the Web with Natural Language,pat-022 | pat-092 | pat-002 | pat-021 | pat-088 | pat-060,Artifact Derived Controls | Natural-Language Control | Candidate Gallery | Localized Tweaking Support | AI Panels for Host Application | Multimodal Input,F19 | F20 | F7,Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
1174,StoryBuddy: A Human-AI Collaborative Chatbot for Parent-Child Interactive Storytelling with Flexible Parental Involvement,pat-033 | pat-095 | pat-047 | pat-048,Output Templates | Manual Fallback Editing | Role Asymmetric Views | Simulated Counterparts,F19 | F20 | F7 | F13 | F21,"Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Personalization | Affect, Wellbeing and Connection"
1322,AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,pat-023 | pat-020 | pat-086,Goal Decomposition | Inspectable Intermediate Steps | Fixed Functional Panel Layout,F4 | F19 | F7,Oversight | Effort and Cognitive Load | Control and Agency
