pattern_id,pattern_name,category_id,category_name,stage,ui_ux_type,rid,title,venue,year,url,source,score,figure_order,figure_path,width,height,bytes
pat-015,Question-Driven Elicitation,U01,"Input, Context & Specification",Setting the context,UX,11327,Socrates: Data Story Generation via Adaptive Machine-Guided Elicitation of User Feedback,tvcg-2024,2024,https://doi.org/10.1109/tvcg.2023.3327363,curated,4.77,1,exemplar_figures/11327/figure_2.png,696,293,39182
pat-015,Question-Driven Elicitation,U01,"Input, Context & Specification",Setting the context,UX,3951,Understanding and Supporting Formal Email Exchange by Answering AI-Generated Questions,chi-2025,2025,https://doi.org/10.1145/3706598.3714016,curated,4.7,2,exemplar_figures/3951/figure_3.png,1402,986,225870
pat-022,Artifact Derived Controls,U01,"Input, Context & Specification",Setting the context,UI,3398,GazeNoter: Co-Piloted AR Note-Taking via Gaze Selection of LLM Suggestions to Match Users' Intentions,chi-2025,2025,https://doi.org/10.1145/3706598.3714294,curated,4.4,1,exemplar_figures/3398/figure_1.png,1450,304,326238
pat-022,Artifact Derived Controls,U01,"Input, Context & Specification",Setting the context,UI,4449,AI-Instruments: Embodying Prompts as Instruments to Abstract & Reflect Graphical Interface Commands as General-Purpose Tools,chi-2025,2025,https://doi.org/10.1145/3706598.3714259,curated,4.75,2,exemplar_figures/4449/figure_5.png,1234,983,505371
pat-027,Specification by Demonstration,U01,"Input, Context & Specification",Setting the context,UX,6006,Codesigning Ripplet: an LLM-Assisted Assessment Authoring System Grounded in a Conceptual Model of Teachers' Workflows,chi-2026,2026,https://doi.org/10.1145/3772318.3790418,curated,4.95,1,exemplar_figures/6006/figure_1.png,1332,783,187188
pat-032,Source Conditioned Generation,U01,"Input, Context & Specification",Setting the context,UX,5505,CareerCraft: Supporting New Graduates on Job Hunting with LLM-Assisted Self-Construction of Career Profile,chi-2026,2026,https://doi.org/10.1145/3772318.3791221,curated,4.48,1,exemplar_figures/5505/figure_3.png,1402,512,108686
pat-034,Artifact Generation Property Controls,U01,"Input, Context & Specification",Setting the context,UI,15614,Steering AI-driven Personalization of Scientific Text for General Audiences,cscw-2025,2025,https://doi.org/10.1145/3757660,curated,4.62,1,exemplar_figures/15614/figure_1.png,1096,639,261849
pat-035,Atomic AI Action Menu,U01,"Input, Context & Specification",Setting the context,UI,10180,Jamplate: Exploring LLM-Enhanced Templates for Idea Reflection,iui-2024,2024,https://doi.org/10.1145/3640543.3645196,curated,3.98,1,exemplar_figures/10180/figure_6.png,668,678,134782
pat-039,Spatial Canvas,U01,"Input, Context & Specification",Setting the context,UI,13801,"ImaginationVellum: Generative-AI Ideation Canvas with Spatial Prompts, Generative Strokes, and Ideation History",uist-2025,2025,https://doi.org/10.1145/3746059.3747631,manual,4.12,1,exemplar_figures/13801/figure_7.png,1402,633,244132
pat-039,Spatial Canvas,U01,"Input, Context & Specification",Setting the context,UI,13801,"ImaginationVellum: Generative-AI Ideation Canvas with Spatial Prompts, Generative Strokes, and Ideation History",uist-2025,2025,https://doi.org/10.1145/3746059.3747631,manual,4.12,2,exemplar_figures/13801/figure_1.png,1568,1060,549472
pat-039,Spatial Canvas,U01,"Input, Context & Specification",Setting the context,UI,6679,PromptChainer: Chaining Large Language Model Prompts through Visual Programming,chiea-2022,2022,https://doi.org/10.1145/3491101.3519729,candidate,3.87,3,exemplar_figures/6679/figure_2.png,1526,1484,461340
pat-039,Spatial Canvas,U01,"Input, Context & Specification",Setting the context,UI,5463,CoNode: Visualizing Workflows for Knowledge Reuse and Recombination in Team-AI Collaborative Design,chi-2026,2026,https://doi.org/10.1145/3772318.3791216,candidate,3.85,4,exemplar_figures/5463/figure_2.png,1214,788,681814
pat-039,Spatial Canvas,U01,"Input, Context & Specification",Setting the context,UI,5288,Sci-Fi Spark: A Human-AI Co-Creation System for Science Fiction Ideation,chi-2026,2026,https://doi.org/10.1145/3772318.3791950,candidate,3.47,5,exemplar_figures/5288/figure_4.png,1402,902,291749
pat-040,Sketch-Based Input,U01,"Input, Context & Specification",Setting the context,UI,13801,"ImaginationVellum: Generative-AI Ideation Canvas with Spatial Prompts, Generative Strokes, and Ideation History",uist-2025,2025,https://doi.org/10.1145/3746059.3747631,curated,4.85,1,exemplar_figures/13801/figure_7.png,1402,633,244132
pat-040,Sketch-Based Input,U01,"Input, Context & Specification",Setting the context,UI,13801,"ImaginationVellum: Generative-AI Ideation Canvas with Spatial Prompts, Generative Strokes, and Ideation History",uist-2025,2025,https://doi.org/10.1145/3746059.3747631,curated,4.85,3,exemplar_figures/13801/figure_5.png,668,780,314645
pat-040,Sketch-Based Input,U01,"Input, Context & Specification",Setting the context,UI,3895,Code Shaping: Iterative Code Editing with Free-form AI-Interpreted Sketching,chi-2025,2025,https://doi.org/10.1145/3706598.3713822,curated,4.55,2,exemplar_figures/3895/figure_1.png,1402,357,200624
pat-040,Sketch-Based Input,U01,"Input, Context & Specification",Setting the context,UI,5632,Notational Animating: An Interactive Approach to Creating and Editing Animation Keyframes,chi-2026,2026,https://doi.org/10.1145/3772318.3790707,candidate,4.75,4,exemplar_figures/5632/figure_1.png,1402,1072,541988
pat-040,Sketch-Based Input,U01,"Input, Context & Specification",Setting the context,UI,5326,SketchDynamics: Exploring Free-Form Sketches for Dynamic Intent Expression in Animation Generation,chi-2026,2026,https://doi.org/10.1145/3772318.3791071,candidate,4.07,5,exemplar_figures/5326/figure_9.png,1402,565,178806
pat-059,Inferred User State Driven Adaptation,U01,"Input, Context & Specification",Setting the context,UX,16714,"When Systems Take Initiative: A Design Framework for Adaptive, Mixed-initiative Database Querying",dis-2026,2026,https://doi.org/10.1145/3800645.3812906,candidate,4.5,1,exemplar_figures/16714/figure_1.png,1402,828,223234
pat-059,Inferred User State Driven Adaptation,U01,"Input, Context & Specification",Setting the context,UX,6229,LingoQ: Bridging the Gap between EFL Learning and Work through AI-Generated Work-Related Quizzes,chi-2026,2026,https://doi.org/10.1145/3772318.3791342,candidate,4.38,2,exemplar_figures/6229/figure_3.png,1393,447,98860
pat-059,Inferred User State Driven Adaptation,U01,"Input, Context & Specification",Setting the context,UX,4106,Persistent Assistant: Seamless Everyday AI Interactions via Intent Grounding and Multimodal Feedback,chi-2025,2025,https://doi.org/10.1145/3706598.3714317,candidate,4.03,3,exemplar_figures/4106/figure_1.png,1409,894,294219
pat-092,Natural-Language Control,U01,"Input, Context & Specification",Setting the context,UX,11792,Interactive Table Synthesis With Natural Language,tvcg-2024,2024,https://doi.org/10.1109/tvcg.2023.3329120,curated,4.5,1,exemplar_figures/11792/figure_1.png,1401,290,135193
pat-092,Natural-Language Control,U01,"Input, Context & Specification",Setting the context,UX,1168,Stylette: Styling the Web with Natural Language,chi-2022,2022,https://doi.org/10.1145/3491102.3501931,curated,4.4,2,exemplar_figures/1168/figure_1.png,1277,845,228825
pat-092,Natural-Language Control,U01,"Input, Context & Specification",Setting the context,UX,3216,LLMR: Real-time Prompting of Interactive Worlds using Large Language Models,chi-2024,2024,https://doi.org/10.1145/3613904.3642579,candidate,4.32,3,exemplar_figures/3216/figure_1.png,1262,798,787809
pat-093,Familiar-Object Metaphor,U01,"Input, Context & Specification",Setting the context,UI,9055,Actionbrushes: Painting with Elemental Dynamics from a Generative Palette,chiea-2026,2026,https://doi.org/10.1145/3772363.3798553,candidate,4.33,1,exemplar_figures/9055/figure_2.png,641,341,47652
pat-093,Familiar-Object Metaphor,U01,"Input, Context & Specification",Setting the context,UI,10210,"StepMIND: A Visual Framework for Stepwise, Multimodal, and Bidirectional Explanations of AI-Generated Data Analysis Pipeline",iui-2026,2026,https://doi.org/10.1145/3742413.3789070,candidate,3.9,2,exemplar_figures/10210/figure_1.png,1402,1032,312962
pat-009,Proactive Support,U02,Initiative & Intervention Timing,Setting the context,UX,3819,Are We On Track? AI-Assisted Active and Passive Goal Reflection During Meetings,chi-2025,2025,https://doi.org/10.1145/3706598.3714052,curated,4.65,1,exemplar_figures/3819/figure_3.png,1402,790,364118
pat-009,Proactive Support,U02,Initiative & Intervention Timing,Setting the context,UX,16313,The CoExplorer Technology Probe: A Generative AI-Powered Adaptive Interface to Support Intentionality in Planning and Running Video Meetings,dis-2024,2024,https://doi.org/10.1145/3643834.3661507,candidate,4.47,2,exemplar_figures/16313/figure_1.png,1402,540,155660
pat-009,Proactive Support,U02,Initiative & Intervention Timing,Setting the context,UX,6155,State Your Intention to Steer Your Attention: An AI Assistant for Intentional Digital Living,chi-2026,2026,https://doi.org/10.1145/3772318.3791404,candidate,4.35,3,exemplar_figures/6155/figure_1.png,1402,1018,452668
pat-009,Proactive Support,U02,Initiative & Intervention Timing,Setting the context,UX,6155,State Your Intention to Steer Your Attention: An AI Assistant for Intentional Digital Living,chi-2026,2026,https://doi.org/10.1145/3772318.3791404,candidate,4.35,4,exemplar_figures/6155/figure_2.png,1402,594,291414
pat-009,Proactive Support,U02,Initiative & Intervention Timing,Setting the context,UX,6155,State Your Intention to Steer Your Attention: An AI Assistant for Intentional Digital Living,chi-2026,2026,https://doi.org/10.1145/3772318.3791404,candidate,4.35,5,exemplar_figures/6155/figure_3.png,1416,380,102502
pat-011,Live Activity Output Synchronization,U02,Initiative & Intervention Timing,Setting the context,UX,13531,Graphologue: Exploring Large Language Model Responses with Interactive Diagrams,uist-2023,2023,https://doi.org/10.1145/3586183.3606737,candidate,4.52,1,exemplar_figures/13531/figure_4.png,1402,561,109995
pat-011,Live Activity Output Synchronization,U02,Initiative & Intervention Timing,Setting the context,UX,8423,"Just Talk, and Sticky Notes will be Created: Towards Collaborative Dialogue in Face-to-Face Workshops the Experiment with a Generative AI-Based",chiea-2025,2025,https://doi.org/10.1145/3706599.3720231,candidate,3.95,2,exemplar_figures/8423/figure_1.png,1214,359,559707
pat-012,Live Side Panel,U02,Initiative & Intervention Timing,Setting the context,UI,13462,Beyond Text Generation: Supporting Writers with Continuous Automatic Text Summaries,uist-2022,2022,https://doi.org/10.1145/3526113.3545672,curated,4.75,1,exemplar_figures/13462/figure_1.png,1332,601,353239
pat-012,Live Side Panel,U02,Initiative & Intervention Timing,Setting the context,UI,12247,InsightLens: Augmenting LLM-Powered Data Analysis With Interactive Insight Management and Navigation,tvcg-2025,2025,https://doi.org/10.1109/tvcg.2025.3567131,candidate,4.02,2,exemplar_figures/12247/figure_1.png,1269,1241,419046
pat-013,Deferred Intervention,U02,Initiative & Intervention Timing,Setting the context,UX,4065,TeamVision: An AI-powered Learning Analytics System for Supporting Reflection in Team-based Healthcare Simulation,chi-2025,2025,https://doi.org/10.1145/3706598.3713395,curated,2.5,1,exemplar_figures/4065/figure_1.png,1402,505,602582
pat-013,Deferred Intervention,U02,Initiative & Intervention Timing,Setting the context,UX,9484,PRISM: Post-task Reflection via Intelligent Social Multi-agents for Enhancing Learning Experience and Industrial Skill Retention,chiea-2026,2026,https://doi.org/10.1145/3772363.3798456,curated,2.1,2,exemplar_figures/9484/figure_1.png,1402,1086,472369
pat-082,Chunked Interaction Sessions,U02,Initiative & Intervention Timing,Setting the context,UX,13758,StorySage: Conversational Autobiography Writing Powered by a Multi-Agent Framework,uist-2025,2025,https://doi.org/10.1145/3746059.3747681,curated,2.85,1,exemplar_figures/13758/figure_1.png,1578,890,464163
pat-090,On-Demand Suggestion,U02,Initiative & Intervention Timing,Setting the context,UI,2002,Choice Over Control: How Users Write with Large Language Models using Diegetic and Non-Diegetic Prompting,chi-2023,2023,https://doi.org/10.1145/3544548.3580969,curated,4.75,1,exemplar_figures/2002/figure_1.png,1402,418,140339
pat-033,Output Templates,U03,"Constraints, Guardrails & Reserved Control",Setting the context,UI,13308,IDEA: Automated Design Space Exploration for Visualization Design,tvcg-2026,2026,https://doi.org/10.1109/tvcg.2026.3684920,candidate,4.42,1,exemplar_figures/13308/figure_2.png,1368,255,72805
pat-033,Output Templates,U03,"Constraints, Guardrails & Reserved Control",Setting the context,UI,5176,From Conversation to Human-AI Common Ground: Extracting Cognitive Workflows for Reuse in Sense-making Tasks,chi-2026,2026,https://doi.org/10.1145/3772318.3791669,curated,4.78,2,exemplar_figures/5176/figure_1.png,1402,1064,337532
pat-033,Output Templates,U03,"Constraints, Guardrails & Reserved Control",Setting the context,UI,5176,From Conversation to Human-AI Common Ground: Extracting Cognitive Workflows for Reuse in Sense-making Tasks,chi-2026,2026,https://doi.org/10.1145/3772318.3791669,curated,4.78,3,exemplar_figures/5176/figure_6.png,1402,1466,480111
pat-067,User-Authored Rules,U03,"Constraints, Guardrails & Reserved Control",Setting the context,UX,10177,ConstitutionMaker: Interactively Critiquing Large Language Models by Converting Feedback into Principles,iui-2024,2024,https://doi.org/10.1145/3640543.3645144,curated,4.85,1,exemplar_figures/10177/figure_1.png,1122,535,146250
pat-067,User-Authored Rules,U03,"Constraints, Guardrails & Reserved Control",Setting the context,UX,13637,Semantic Commit: Helping Users Update Intent Specifications for AI Memory at Scale,uist-2025,2025,https://doi.org/10.1145/3746059.3747778,curated,4.4,2,exemplar_figures/13637/figure_1.png,1403,617,257721
