rid,pattern_id,pattern_name,category_id,role,confidence,review_status,assignment_method,evidence_location,evidence_quote,system_id,source_batch,taxonomy_version
97,pat-004,Side-by-Side Comparison,U05,central,medium,verified,imported,fig 3,DR3: Support juxtaposition of instruction examples and data samples.,lingo,include,v1.1
97,pat-017,Staged Pipeline,U08,central,high,verified,imported,abstract,"we develop LINGO, a novel visual analytics interface that supports an effective, task-driven workflow to (1) help identify bias in natural language task instructions, (2) alter (or create) task instructions to reduce bias, and (3) evaluate pre-trained model performance on debiased task instructions",lingo,include,v1.1
97,pat-037,Unit Visualization Views,U07,central,high,verified,imported,fig 1,Select a task to analyze based on the sentence embedding space of task instructions.,lingo,include,v1.1
97,pat-095,Manual Fallback Editing,U06,present,medium,verified,imported,fig 1,"Modify or create task instructions, and evaluate model performance on the updated task.",lingo,include,v1.1
196,pat-029,Reverse Engineered Representation,U06,central,high,verified,imported,fig 3,Inverse terrain modeling: a structural replica of a terrain can be generated from the extracted signature and subsequently edited by the user to introduce or remove features.,196,include-b,v1.1
196,pat-040,Sketch-Based Input,U01,central,high,verified,imported,fig 1,"an artist first sketches a simple ridge and forked drainage network, then makes their style selection (outlined in red) before adding further details",196,include-b,v1.1
343,pat-001,Linked Views,U07,central,high,verified,imported,fig 1,"one may brush 1D density embeddings of objects unspecified in the prompt, e.g. carpet (A), resulting in linked updates to the remaining views, e.g. 1D densities for specified objects (B)",cupid,include,v1.1
343,pat-036,Overview-plus-Detail,U07,present,medium,verified,imported,abstract,"while also providing an interface for discovery of typical, or rare, synthesized scenes",cupid,include,v1.1
343,pat-037,Unit Visualization Views,U07,central,high,verified,imported,abstract,"contextualized embeddings of objects, those found within images, are mapped to a low-dimensional space via density-based embeddings",cupid,include,v1.1
350,pat-092,Natural-Language Control,U01,central,high,verified,imported,fig 1,AVAs can not only understand user instructions but also control and adjust a visualization system by interpreting its visual outputs to accomplish user-specified goals,ava,include,v1.1
621,pat-001,Linked Views,U07,central,high,verified,imported,abstract,"Our formative study highlights the expectations for both lexical and visual feedback, as well as the importance of explicitly linking these two modalities throughout the conversation.",vizta,include,v1.1
621,pat-018,Addressable Segments,U06,present,medium,verified,imported,fig 2,Examples of visual elements at element-level and grouplevel granularity in distributional visualizations.,vizta,include,v1.1
621,pat-047,Role Asymmetric Views,U10,present,medium,verified,imported,fig 3,"real-world chart reading involves two primary user groups: visualization experts, responsible for creating and publishing charts, and chart readers, the end users who benefit from the reading assistance",vizta,include,v1.1
621,pat-057,Companion Chat Panel,U09,central,high,verified,imported,abstract,V IZ TA features a semantic-aware conversational agent capable of explaining contextual information within visualizations and employs a visual-lexical fusion design to facilitate chart-centered conversation.,vizta,include,v1.1
621,pat-074,Non-Readable to Natural Language Conversion,U04,present,medium,verified,imported,system sec 5,"The line represents error bar, which is based on the standard deviation (SD) of the sit and bend forward measurements, with an SD value of 5.9 cm.",vizta,include,v1.1
623,pat-017,Staged Pipeline,U08,present,medium,verified,imported,abstract,"we propose IntelliCircos, an AI-powered interactive authoring tool that streamlines the process from initial visual design to the final implementation of circos plots",intellicircos,include-b,v1.1
623,pat-019,Propose-Critique-Revise Iterative Refinement,U06,present,medium,verified,imported,system sec 4,G1.2: Support progressive design recommendation.,intellicircos,include-b,v1.1
623,pat-033,Output Templates,U03,central,high,verified,imported,fig 2,"A CIRCOS begins with the <start> terminator and ends with CIRCOS_END, containing one or multiple RING elements. A RING consists of TRACK elements, and RINGs are separated by the <split> terminator, ordered from outside to inside.",intellicircos,include-b,v1.1
627,pat-001,Linked Views,U07,central,high,verified,imported,system sec 5.1,the brushed data points in the projection are filtered and highlighted in all visual representations among all layers,layerflow,include,v1.1
627,pat-034,Artifact Generation Property Controls,U01,present,medium,verified,imported,system sec 5,"select the projection techniques with their parameters (e.g., n_neighbors, min_dist for UMAP)",layerflow,include,v1.1
627,pat-037,Unit Visualization Views,U07,central,high,verified,imported,system sec 5.1,"the individual layers are visualized as scatterplots, one scatterplot representing embeddings extracted from one layer",layerflow,include,v1.1
627,pat-051,Elements for Process Disclosure,U07,central,high,verified,imported,abstract,"we present LayerFlow – a visual analytics workspace that displays embeddings in an interlinked projection design and communicates the transformation, representation, and interpretation uncertainty",layerflow,include,v1.1
627,pat-086,Fixed Functional Panel Layout,U09,central,high,verified,imported,system sec 5,"The workspace consists of two setting sidebars, and one main view, which is displayed in the middle of the screen.",layerflow,include,v1.1
631,pat-021,Localized Tweaking Support,U06,present,medium,verified,imported,system sec 4.2,"InterChat supports four types of direct manipulations (click selection, box selection, lasso selection, and free drawing).",interchat,include,v1.1
631,pat-025,Interpretation Readback,U07,central,high,verified,imported,fig 2,users interact with visualizations to express analytical intents and inspect inferred intents through visual connections,interchat,include,v1.1
631,pat-060,Multimodal Input,U04,central,high,verified,imported,abstract,"We develop InterChat, a generative visual analytics system that combines direct manipulation of visual elements with natural language inputs.",interchat,include,v1.1
640,pat-002,Candidate Gallery,U05,central,high,verified,imported,system sec 5,This approach aids users in constructing a structured development space that can provide candidate prompts to quickly converge on their ideas (R1).,640,include,v1.1
640,pat-019,Propose-Critique-Revise Iterative Refinement,U06,present,medium,verified,imported,abstract,"Then, we present an interactive visual system that supports efficient development, in-depth exploration, and iteration of LFs.",640,include,v1.1
640,pat-022,Artifact Derived Controls,U01,central,high,verified,imported,system sec 5,"the dimensions that control prompt LF generation, along with corresponding value options for each dimension (e.g., coverage: [low, medium, high], specificity: [high, medium, low]), are first determined with the assistance of an LLM, which could be called the generator model",640,include,v1.1
